label,param_name,param_val,value_type,exp_err
wgn-event_iden_pass-upper_min,wiegand.event_identify_pass,7,int32_value,Config_invalid_value_error.new
wgn-event_iden_pass-upper_mid,wiegand.event_identify_pass,9,int32_value,Config_invalid_value_error.new
wgn-event_iden_pass-upper_max,wiegand.event_identify_pass,18,int32_value,Config_invalid_value_error.new
wgn-event_iden_pass-neg_invalid,wiegand.event_identify_pass,-2,int32_value,Config_invalid_value_error.new
wgn-event_iden_fail-min,wiegand.event_identify_fail,-1,int32_value,nil
wgn-event_iden_fail-zero,wiegand.event_identify_fail,0,int32_value,nil
wgn-event_iden_fail-mid,wiegand.event_identify_fail,10,int32_value,nil
wgn-event_iden_fail-max,wiegand.event_identify_fail,17,int32_value,nil
wgn-event_iden_fail-upper_min,wiegand.event_identify_fail,7,int32_value,Config_invalid_value_error.new
wgn-event_iden_fail-upper_mid,wiegand.event_identify_fail,9,int32_value,Config_invalid_value_error.new
wgn-event_iden_fail-upper_max,wiegand.event_identify_fail,18,int32_value,Config_invalid_value_error.new
wgn-event_iden_fail-neg_invalid,wiegand.event_identify_fail,-2,int32_value,Config_invalid_value_error.new
wgn-event_tamper-zero,wiegand.event_tamper,0,int32_value,nil
wgn-event_tamper-mid,wiegand.event_tamper,10,int32_value,nil
wgn-event_tamper-max,wiegand.event_tamper,17,int32_value,nil
wgn-event_tamper-upper_min,wiegand.event_tamper,2,int32_value,Config_invalid_value_error.new
wgn-event_tamper-upper_mid,wiegand.event_tamper,9,int32_value,Config_invalid_value_error.new
wgn-event_tamper-upper_max,wiegand.event_tamper,18,int32_value,Config_invalid_value_error.new
wgn-event_tamper-neg_invalid,wiegand.event_tamper,-1,int32_value,Config_invalid_value_error.new
wgn-ext_port_output_status_min,wiegand.external_port_output_status,-1,int32_value,nil
wgn-ext_port_output_status_zero,wiegand.external_port_output_status,0,int32_value,nil
wgn-ext_port_output_status-mid,wiegand.external_port_output_status,1,int32_value,nil
wgn-ext_port_output_status-upper,wiegand.external_port_output_status,2,int32_value,Config_invalid_value_error.new
wgn-ext_port_output_status-neg_invalid,wiegand.external_port_output_status,-2,int32_value,Config_invalid_value_error.new
wgn-ext_port_input_type_zero,wiegand.external_port_input_type,0,int32_value,nil
wgn-ext_port_input_type-max,wiegand.external_port_input_type,1,int32_value,nil
wgn-ext_port_input_type-upper,wiegand.external_port_input_type,2,int32_value,Config_invalid_value_error.new
wgn-ext_port_input_type-neg_invalid,wiegand.external_port_input_type,-1,int32_value,Config_invalid_value_error.new
wgn-ext_port_output_type_zero,wiegand.external_port_output_type,0,int32_value,nil
wgn-ext_port_output_type-max,wiegand.external_port_output_type,1,int32_value,nil
wgn-ext_port_output_type-upper,wiegand.external_port_output_type,2,int32_value,Config_invalid_value_error.new
wgn-ext_port_output_type-neg_invalid,wiegand.external_port_output_type,-1,int32_value,Config_invalid_value_error.new
wgn-site_code_checking_mid,wiegand.site_code_checking,0,int32_value,nil
wgn-site_code_checking-max,wiegand.site_code_checking,1,int32_value,nil
wgn-site_code_checking-upper,wiegand.site_code_checking,2,int32_value,Config_invalid_value_error.new
wgn-site_code_checking-neg_invalid,wiegand.site_code_checking,-1,int32_value,Config_invalid_value_error.new
clk_data-input_clock_line_level-min,clock_and_data_protocol.input_clock_line_level,0,int32_value,nil
clk_data-input_clock_line_level-mid,clock_and_data_protocol.input_clock_line_level,1,int32_value,nil
clk_data-input_clock_line_level-upper,clock_and_data_protocol.input_clock_line_level,2,int32_value,Config_invalid_value_error.new
clk_data-input_clock_line_level-neg,clock_and_data_protocol.input_clock_line_level,-1,int32_value,Config_invalid_value_error.new
clk_data-input_data_line_level-min,clock_and_data_protocol.input_data_line_level,0,int32_value,nil
clk_data-input_data_line_level-mid,clock_and_data_protocol.input_data_line_level,1,int32_value,nil
clk_data-input_data_line_level-upper,clock_and_data_protocol.input_data_line_level,2,int32_value,Config_invalid_value_error.new
clk_data-input_data_line_level-neg,clock_and_data_protocol.input_data_line_level,-1,int32_value,Config_invalid_value_error.new
clk_data-output_clock_line_level-min,clock_and_data_protocol.output_clock_line_level,0,int32_value,nil
clk_data-output_clock_line_level-mid,clock_and_data_protocol.output_clock_line_level,1,int32_value,nil
clk_data-output_clock_line_level-upper,clock_and_data_protocol.output_clock_line_level,2,int32_value,Config_invalid_value_error.new
clk_data-output_clock_line_level-neg,clock_and_data_protocol.output_clock_line_level,-1,int32_value,Config_invalid_value_error.new
clk_data-output_data_line_level-min,clock_and_data_protocol.output_data_line_level,0,int32_value,nil
clk_data-output_data_line_level-mid,clock_and_data_protocol.output_data_line_level,1,int32_value,nil
clk_data-output_data_line_level-upper,clock_and_data_protocol.output_data_line_level,2,int32_value,Config_invalid_value_error.new
clk_data-output_data_line_level-neg,clock_and_data_protocol.output_data_line_level,-1,int32_value,Config_invalid_value_error.new
