label,param_name,param_val,value_type,exp_err
controller_feedback-denied_pulse_interval-high-upper,controller_feedback.denied_pulse_interval,1001,int32_value,Config_invalid_value_error.new
controller_feedback-denied_pulse_interval-low-upper,controller_feedback.denied_pulse_interval,49,int32_value,Config_invalid_value_error.new
controller_feedback-denied_pulse_interval-zero,controller_feedback.denied_pulse_interval,0,int32_value,nil
controller_feedback-denied_pulse_interval-neg,controller_feedback.denied_pulse_interval,-1,int32_value,nil
controller_feedback-PIN_pulse_width-min,controller_feedback.PIN_pulse_width,50,int32_value,nil
controller_feedback-PIN_pulse_width-mid,controller_feedback.PIN_pulse_width,500,int32_value,nil
controller_feedback-PIN_pulse_width-max,controller_feedback.PIN_pulse_width,1000,int32_value,nil
controller_feedback-PIN_pulse_width-high-upper,controller_feedback.PIN_pulse_width,1001,int32_value,Config_invalid_value_error.new
controller_feedback-PIN_pulse_width-low-upper,controller_feedback.PIN_pulse_width,49,int32_value,Config_invalid_value_error.new
controller_feedback-PIN_pulse_width-zero,controller_feedback.PIN_pulse_width,0,int32_value,nil
controller_feedback-PIN_pulse_width-neg,controller_feedback.PIN_pulse_width,-1,int32_value,Config_invalid_value_error.new
controller_feedback-PIN_pulse_interval-min,controller_feedback.PIN_pulse_interval,50,int32_value,nil
controller_feedback-PIN_pulse_interval-mid,controller_feedback.PIN_pulse_interval,500,int32_value,nil
controller_feedback-PIN_pulse_interval-max,controller_feedback.PIN_pulse_interval,1000,int32_value,nil
controller_feedback-PIN_pulse_interval-high-upper,controller_feedback.PIN_pulse_interval,1001,int32_value,Config_invalid_value_error.new
controller_feedback-PIN_pulse_interval-low-upper,controller_feedback.PIN_pulse_interval,49,int32_value,Config_invalid_value_error.new
controller_feedback-PIN_pulse_interval-zero,controller_feedback.PIN_pulse_interval,0,int32_value,nil
controller_feedback-PIN_pulse_interval-neg,controller_feedback.PIN_pulse_interval,-1,int32_value,Config_invalid_value_error.new
controller_feedback-timeout_as_reject-min,controller_feedback.timeout_as_reject,0,int32_value,nil
controller_feedback-timeout_as_reject-max,controller_feedback.timeout_as_reject,1,int32_value,nil
controller_feedback-timeout_as_reject-upper,controller_feedback.timeout_as_reject,2,int32_value,Config_invalid_value_error.new
controller_feedback-timeout_as_reject-neg,controller_feedback.timeout_as_reject,-1,int32_value,Config_invalid_value_error.new
controller_feedback-keypad_passthru_timeout-min,controller_feedback.keypad_passthru_timeout,5,int32_value,nil
controller_feedback-keypad_passthru_timeout-mid,controller_feedback.keypad_passthru_timeout,11,int32_value,nil
controller_feedback-keypad_passthru_timeout-max,controller_feedback.keypad_passthru_timeout,16,int32_value,nil
controller_feedback-keypad_passthru_timeout-high-upper,controller_feedback.keypad_passthru_timeout,17,int32_value,Config_invalid_value_error.new
controller_feedback-keypad_passthru_timeout-low-upper,controller_feedback.keypad_passthru_timeout,4,int32_value,Config_invalid_value_error.new
controller_feedback-keypad_passthru_timeout-zero,controller_feedback.keypad_passthru_timeout,0,int32_value,Config_invalid_value_error.new
controller_feedback-keypad_passthru_timeout-neg,controller_feedback.keypad_passthru_timeout,-1,int32_value,Config_invalid_value_error.new
