label,param_name,param_val,value_type,exp_err
sc_l1_iclass-book_number-min,sc_l1_iclass.book_number,8388607,int32_value,nil
sc_l1_iclass-book_number-max,sc_l1_iclass.book_number,16777215,int32_value,nil
sc_l1_iclass-book_number-upper,sc_l1_iclass.book_number,16777216,int32_value,Config_invalid_value_error.new
sc_l1_iclass-book_number-neg,sc_l1_iclass.book_number,-1,int32_value,Config_invalid_value_error.new
sc_l1_mifare-kb_number-min,sc_l1_mifare.kb_number,1,int32_value,nil
sc_l1_mifare-kb_number-mid,sc_l1_mifare.kb_number,2,int32_value,nil
sc_l1_mifare-kb_number-max,sc_l1_mifare.kb_number,4,int32_value,nil
sc_l1_mifare-kb_number-upper,sc_l1_mifare.kb_number,5,int32_value,Config_invalid_value_error.new
sc_l1_mifare-kb_number-zero,sc_l1_mifare.kb_number,0,int32_value,Config_invalid_value_error.new
sc_l1_mifare-kb_number-neg,sc_l1_mifare.kb_number,-1,int32_value,Config_invalid_value_error.new
sc_l1_mifare-key_policy-min,sc_l1_mifare.key_policy,1,int32_value,nil
sc_l1_mifare-key_policy-mid,sc_l1_mifare.key_policy,2,int32_value,nil
sc_l1_mifare-key_policy-max,sc_l1_mifare.key_policy,3,int32_value,nil
sc_l1_mifare-key_policy-upper,sc_l1_mifare.key_policy,4,int32_value,Config_invalid_value_error.new
sc_l1_mifare-key_policy-zero,sc_l1_mifare.key_policy,0,int32_value,Config_invalid_value_error.new
sc_l1_mifare-key_policy-neg,sc_l1_mifare.key_policy,-1,int32_value,Config_invalid_value_error.new
sc_tlv_mifare-start_block-min,sc_tlv_mifare.start_block,4,int32_value,nil
sc_tlv_mifare-start_block-mid,sc_tlv_mifare.start_block,108,int32_value,nil
sc_tlv_mifare-start_block-max,sc_tlv_mifare.start_block,215,int32_value,nil
sc_tlv_mifare-start_block-upper,sc_tlv_mifare.start_block,216,int32_value,Config_invalid_value_error.new
sc_tlv_mifare-start_block-zero,sc_tlv_mifare.start_block,0,int32_value,Config_invalid_value_error.new
sc_tlv_mifare-start_block-min-upper,sc_tlv_mifare.start_block,3,int32_value,Config_invalid_value_error.new
sc_tlv_mifare-start_block-neg,sc_tlv_mifare.start_block,-1,int32_value,Config_invalid_value_error.new
sc_tlv_mifare-key_policy-min,sc_tlv_mifare.key_policy,1,int32_value,nil
sc_tlv_mifare-key_policy-mid,sc_tlv_mifare.key_policy,2,int32_value,nil
sc_tlv_mifare-key_policy-max,sc_tlv_mifare.key_policy,3,int32_value,nil
sc_tlv_mifare-key_policy-upper,sc_tlv_mifare.key_policy,4,int32_value,Config_invalid_value_error.new
sc_tlv_mifare-key_policy-zero,sc_tlv_mifare.key_policy,0,int32_value,Config_invalid_value_error.new
sc_tlv_mifare-key_policy-neg,sc_tlv_mifare.key_policy,-1,int32_value,Config_invalid_value_error.new
sc-auto_key_update-0,sc.auto_key_update,0,int32_value,nil
sc-auto_key_update-1,sc.auto_key_update,1,int32_value,nil
sc-auto_key_update-2,sc.auto_key_update,2,int32_value,nil
sc-auto_key_update-3,sc.auto_key_update,3,int32_value,nil
sc-auto_key_update-16,sc.auto_key_update,16,int32_value,nil
sc-auto_key_update-17,sc.auto_key_update,17,int32_value,nil
sc-auto_key_update-18,sc.auto_key_update,18,int32_value,nil
sc-auto_key_update-19,sc.auto_key_update,19,int32_value,nil
sc-auto_key_update-min-upper,sc.auto_key_update,4,int32_value,Config_invalid_value_error.new
sc-auto_key_update-mid-upper,sc.auto_key_update,15,int32_value,Config_invalid_value_error.new
sc-auto_key_update-upper,sc.auto_key_update,20,int32_value,Config_invalid_value_error.new
sc-auto_key_update-neg,sc.auto_key_update,-1,int32_value,Config_invalid_value_error.new
